INT	INT	STRING	STRING	STRING	STRING	STRING
2478	0	下列哪个选项属于植物类？	紫茉莉	达氏鳇	淡头玫瑰鹦鹉	牦牛
2479	0	植物用途广泛，请您找到属于植物的选项？	商陆树	达氏蛇鱼	帝汶红翅鹦鹉	角马
2480	0	含蛋白质，脂肪，糖类，维生素B、c，胡罗卜素可以药食两用的果实叫什么？	番杏	大白鲨	喋喋吸蜜鹦鹉	猛犸
2481	0	植物用途广泛，请您找到属于植物的选项？	马齿苋	大头鳗	东部玫瑰鹦鹉	东北虎
2482	0	植物用途广泛，请您找到属于植物的选项？	落葵	大眼长尾鲨	东玫瑰鹦鹉	西伯利亚虎
2483	0	植物用途广泛，请您找到属于植物的选项？	石竹	带鱼	杜鹃	阿穆尔虎
2484	0	植物用途广泛，请您找到属于植物的选项？	睡莲	鲷鱼	鹅	乌苏里虎
2485	0	植物用途广泛，请您找到属于植物的选项？	金鱼藻	鲽鱼	鸸鹋	满洲虎
2486	0	典型的东亚植物区系成分的特征种，又是古老的残遗植物，该稀有树种叫什么？	领春木	东坡鲤属	非洲灰鹦鹉	朝鲜虎
2487	0	植物用途广泛，请您找到属于植物的选项？	昆栏树	东坡鱼	非洲鸵鸟	华南虎
2488	0	植物用途广泛，请您找到属于植物的选项？	连香树	杜父鱼	绯胸鹦鹉	巴厘虎
2489	0	植物用途广泛，请您找到属于植物的选项？	毛茛	短鳍鳗	粉红凤头鹦鹉	东南亚虎
2490	0	植物用途广泛，请您找到属于植物的选项？	木通	短尾线鳗	蜂鸟	印支虎
2491	0	有种观叶赏花制药，多用途的小灌木。它叫什么？	小檗	短吻锯鲨	鸽子	爪哇虎
2492	0	植物用途广泛，请您找到属于植物的选项？	防己	多宝鱼	公鸡	苏门答腊虎
2493	0	植物用途广泛，请您找到属于植物的选项？	木兰	翻车鱼	公主鹦鹉	孟加拉虎
2494	0	植物用途广泛，请您找到属于植物的选项？	水青树	鲂鱼	古巴锥尾鹦鹉	里海虎
2495	0	植物用途广泛，请您找到属于植物的选项？	蜡梅	飞鱼	贵妃吸蜜鹦鹉	新疆虎
2496	0	花可提炼香精油，果供食用，树皮纤维可造纸，根和果实可药用的多用植物叫什么？	番荔枝	非洲鳗	海鸥	黑蓝虎
2497	0	植物用途广泛，请您找到属于植物的选项？	肉豆蔻	菲律宾鳗	褐色吸蜜鹦鹉	白虎
2498	0	植物用途广泛，请您找到属于植物的选项？	樟	鲱鱼	褐头绿吸蜜鹦鹉	雪虎
2499	0	植物用途广泛，请您找到属于植物的选项？	莲叶桐	风鳗	黑翅吸蜜鹦鹉	东南亚虎
2500	0	植物用途广泛，请您找到属于植物的选项？	罂粟	凤尾鱼	黑顶吸蜜鹦鹉	印支虎
2501	0	攀援灌木，茎2至数米或更长，根藤可以入药的植物叫什么？	山柑	鳡鱼	黑帽锥尾鹦鹉	东北刚果狮
2502	0	植物用途广泛，请您找到属于植物的选项？	十字花	鱤	黑天鹅	安哥拉狮
2503	0	植物用途广泛，请您找到属于植物的选项？	木犀草	狗鱼	红斑吸蜜鹦鹉	欧洲狮
2504	0	植物用途广泛，请您找到属于植物的选项？	辣木	鳤鱼	红翅鹦鹉	刚果狮
2505	0	植物用途广泛，请您找到属于植物的选项？	伯乐树	鲑鱼	红顶锥尾鹦鹉	德兰士瓦狮
2506	0	植物用途广泛，请您找到属于植物的选项？	猪笼草	桂鱼	红额鹦鹉	巴巴里狮
2507	0	别名捕虫草、食虫草、落地珍珠、一粒金丹、苍蝇网的可以诱捕昆虫的植物叫什么？	茅膏菜	鳜鱼	红耳绿吸蜜鹦鹉	斑点狮
2508	0	植物用途广泛，请您找到属于植物的选项？	景天	鳜鱼	红耳锥尾鹦鹉	马赛狮
2509	0	植物用途广泛，请您找到属于植物的选项？	虎耳草	海龙	红腹锥尾鹦鹉	开普狮
2510	0	4个选项中只有一个是植物，你知道是哪个吗？	海桐花	海马	红喉绿吸蜜鹦鹉	东非狮
2511	0	4个选项中只有一个是植物，你知道是哪个吗？	金缕梅	海鳗	红喉吸蜜鹦鹉	亚洲狮
2512	0	降压、利尿、补肝肾的著名中药材叫什么？	杜仲	海鳝	红喉锥尾鹦鹉	塞内加尔狮
2513	0	4个选项中只有一个是植物，你知道是哪个吗？	合鳃鳗	悬铃木	红颏吸蜜鹦鹉	索马里狮
2514	0	4个选项中只有一个是植物，你知道是哪个吗？	河鳗	蔷薇	红蓝吸蜜鹦鹉	喀啦哈里狮
2515	0	4个选项中只有一个是植物，你知道是哪个吗？	河魨	牛栓藤	红领绿鹦鹉	蒙古马
2516	0	4个选项中只有一个是植物，你知道是哪个吗？	黑龙江杜文鱼	豆	红帽鹦鹉	哈萨克马
2517	0	1994年首次公布的中国植物分布新记录之一的植物是什么？	黑鳗	攀打	红面具锥尾鹦鹉	河曲马
2518	0	4个选项中只有一个是植物，你知道是哪个吗？	魟鱼	酢浆草	红色吸蜜鹦鹉	西南马
2519	0	4个选项中只有一个是植物，你知道是哪个吗？	胡瓜鱼	牻牛儿苗	红胁吸蜜鹦鹉	三河马
2520	0	4个选项中只有一个是植物，你知道是哪个吗？	胡子鲇鱼	旱金莲	红腰鹦鹉	伊犁马
2521	0	4个选项中只有一个是植物，你知道是哪个吗？	蝴蝶鱼	亚麻	虹彩吸蜜鹦鹉	山丹马
2522	0	有毒植物：马中毒时站不稳、兴奋、狂躁、瞳孔散大、流涎，而后则脉搏及呼吸衰弱。该植物叫什么？	虎鲨	古柯	虹膜吸蜜鹦鹉	荷兰温血马
2523	0	4个选项中只有一个是植物，你知道是哪个吗？	花斑裸鲤	蒺藜	虎皮鹦鹉	柏布马
2524	0	4个选项中只有一个是植物，你知道是哪个吗？	花鳅	芸香	虎皮鹦鹉	汗血马
2525	0	4个选项中只有一个是植物，你知道是哪个吗？	花鳅鱼	苦木	花头鹦鹉	基奈山狼
2526	0	原产中国果实营养丰富的亚热带常绿果木叫什么？	华南鲤	橄榄	华丽吸蜜鹦鹉	北极狼
2527	0	4个选项中只有一个是植物，你知道是哪个吗？	黄貂鱼	楝	画眉鸟	墨西哥狼
2528	0	4个选项中只有一个是植物，你知道是哪个吗？	黄花鱼	金虎尾	黄草玫瑰鹦鹉 	纽芬兰狼 
2529	0	4个选项中只有一个是植物，你知道是哪个吗？	黄鳗	远志	黄额鹦鹉	班克斯岛苔原狼
2530	0	4个选项中只有一个是植物，你知道是哪个吗？	黄鳝	毒鼠子	黄耳锥尾鹦鹉	不列颠哥伦比亚狼
2531	0	根可入药的茜草科植物叫什么？	黄鳝鱼	大戟	黄鹂	范库弗狼
2532	0	4个选项中只有一个是植物，你知道是哪个吗？	茴鱼	虎皮楠	黄领吸蜜鹦鹉	小瀑布山狼
2533	0	4个选项中只有一个是植物，你知道是哪个吗？	寄生鳗	水马齿	黄绿吸蜜鹦鹉	哈德逊湾狼
2534	0	4个选项中只有一个是植物，你知道是哪个吗？	鲫鱼	黄杨	黄玫瑰鹦鹉	马尼托巴狼
2535	0	4个选项中只有一个是植物，你知道是哪个吗？	尖尾鲨	岩高兰	黄色玫瑰鹦鹉	北落基山狼
2536	0	别名：马鞍子、水马桑、千年红、紫桑的有剧毒植物叫什么？	尖吻七鳃鲨	马桑	黄纹绿吸蜜鹦鹉	拉布拉多狼
2537	0	4个选项中只有一个是植物，你知道是哪个吗？	剑吻鲨	漆树	灰头锥尾鹦鹉	亚历山大群岛狼
2538	0	4个选项中只有一个是植物，你知道是哪个吗？	江鳕	五列木	灰喜鹊	东部森林狼
2539	0	4个选项中只有一个是植物，你知道是哪个吗？	角鲨	冬青	火红肩锥尾鹦鹉	密歇根苔原狼
2540	0	4个选项中只有一个是植物，你知道是哪个吗？	金枪鱼	卫矛	火鸡	巴芬岛苔原狼
2541	0	4个选项中只有一个是植物，你知道是哪个吗？	鲸鲨	翅子藤	霍夫曼氏锥尾鹦鹉	蒙古狼
2542	0	有些植物名称来源复杂，您能分辨出来吗？	颈鳗	刺茉莉	鸡	德克萨斯灰狼
2543	0	有些植物名称来源复杂，您能分辨出来吗？	镜鲤鱼	省沽油	鸡尾鹦鹉	大平原狼
2544	0	有些植物名称来源复杂，您能分辨出来吗？	巨齿鲨	茶茱萸	姬吸蜜鹦鹉	布法罗狼
2545	0	世界闻名的观赏树种，枫树也是其中一种。该植物叫什么？	巨口鲨	槭树	几维鸟	密歇根山谷狼
2546	0	有些植物名称来源复杂，您能分辨出来吗？	锯犁鳗	七叶树	尖尾锥尾鹦鹉	格陵兰狼
2547	0	有些植物名称来源复杂，您能分辨出来吗？	锯鲨	无患子	尖嘴锥尾鹦鹉	阿拉斯加内陆狼
2548	0	有些植物名称来源复杂，您能分辨出来吗？	锯尾鲨	清风藤	金刚鹦鹉	阿拉斯加苔原狼
2549	0	有些植物名称来源复杂，您能分辨出来吗？	卷口鱼	凤仙花	金黄锥尾鹦鹉	南落基山狼
2550	0	有些植物名称来源复杂，您能分辨出来吗？	康吉鳗	鼠李	金肩鹦鹉	苔原狼（欧洲）
2551	0	糖量高达10%-30%，以葡萄糖为主富含果酸有助于消化的果实叫什么？	腊光长鳅	葡萄	金帽锥尾鹦鹉	阿拉伯狼
2552	0	有些植物名称来源复杂，您能分辨出来吗？	蓝鳍金枪鱼	杜英	金披风玫瑰鹦鹉 	西伯利亚平原狼
2553	0	有些植物名称来源复杂，您能分辨出来吗？	姥鲨	椴树	金色吸蜜鹦鹉	俄罗斯狼
2554	0	有些植物名称来源复杂，您能分辨出来吗？	鲤鱼	锦葵	金丝雀	里海狼
2555	0	有些植物名称来源复杂，您能分辨出来吗？	连鳃鳗	木棉	金羽锥尾鹦鹉	西班牙狼
2556	0	传说凤凰只会落在一种树上，这种树叫什么？	鲢鱼	梧桐	九重鹦鹉 	日本狼
2557	0	有些植物名称来源复杂，您能分辨出来吗？	裂腹鱼	五桠果	掘穴鹦哥	本洲狼
2558	0	有些植物名称来源复杂，您能分辨出来吗？	鲮鱼	猕猴桃	卡卡鹦鹉	意大利狼
2559	0	有些植物名称来源复杂，您能分辨出来吗？	鲮属等	金莲木	柯利鸟	中国狼
2560	0	花可入药，果实可榨油的优质经济树种？	柳叶鳗	山茶	孔雀	埃及狼
2561	0	有些植物名称来源复杂，您能分辨出来吗？	六鳃锯鲨	藤黄	孔氏吸蜜鹦鹉	普通狼
2562	0	有些植物名称来源复杂，您能分辨出来吗？	鲈鳗	龙脑香	快速鹦鹉	奥匈狼
2563	0	有些植物名称来源复杂，您能分辨出来吗？	路氏双髻鲨	沟繁缕	葵花凤头鹦鹉	亚洲狼
2564	0	有些植物名称来源复杂，您能分辨出来吗？	罗非鱼	瓣鳞花	蓝翅鹦鹉	伊比利亚狼
2565	0	有些植物名称来源复杂，您能分辨出来吗？	裸裂尻鱼	柽柳	蓝额吸蜜鹦鹉	普度鹿
2566	0	有些植物名称来源复杂，您能分辨出来吗？	麦穗鱼	半日花	蓝耳吸蜜鹦鹉	驯鹿
2567	0	有些植物名称来源复杂，您能分辨出来吗？	鳗鲡鱼	红木	蓝盖鹦鹉	驼鹿
2568	0	有些植物名称来源复杂，您能分辨出来吗？	猫鲨	堇菜	蓝冠吸蜜鹦鹉	南美泽鹿
2569	0	有些植物名称来源复杂，您能分辨出来吗？	梅花鲨	大风子	蓝冠吸蜜鹦鹉	秘鲁马驼鹿
2570	0	植物种类繁多，你能挑出植物名称吗？	美洲鳗	旌节花	蓝喉锥尾鹦鹉	智利马驼鹿
2571	0	植物种类繁多，你能挑出植物名称吗？	蒙古红鲌	西番莲	蓝颊玫瑰鹦鹉	墨西哥鹿
2572	0	植物种类繁多，你能挑出植物名称吗？	泥鳅	番木瓜	蓝绿鹦鹉	布氏鹿
2573	0	植物种类繁多，你能挑出植物名称吗？	拟皱唇鲨	四数木	蓝纹吸蜜鹦鹉	矮墨西哥鹿
2574	0	植物种类繁多，你能挑出植物名称吗？	鲇鱼	秋海棠	老鹰	褐墨西哥鹿
2575	0	什么生物枝有钩；叶互生，披针形，全缘；花两性，辐射对称？	鲶鱼	钩枝藤	林肯港鹦鹉	倭墨西哥鹿
2576	0	植物种类繁多，你能挑出植物名称吗？	欧洲鳗	仙人掌	鳞胸吸蜜鹦鹉	小墨西哥鹿
2577	0	植物种类繁多，你能挑出植物名称吗？	爬岩鳅	瑞香	鸬鹚	黑尾鹿
2578	0	植物种类繁多，你能挑出植物名称吗？	胖头鱼	胡颓子	绿草玫瑰鹦鹉 	维基尼亚鹿
2579	0	可观赏可入药的多年生挺水宿根草本植物叫什么？	平鳍鳅	千屈菜	绿翅国王鹦鹉	草原鹿
2580	0	植物种类繁多，你能挑出植物名称吗？	平鱼	绿颊锥尾鹦鹉	海桑	北普度鹿
2581	0	植物种类繁多，你能挑出植物名称吗？	前肛鳗	绿领吸蜜鹦鹉	隐翼	豚鹿
2582	0	植物种类繁多，你能挑出植物名称吗？	翘嘴红鲌	绿色玫瑰鹦鹉	石榴	白唇鹿
2583	0	现名西番莲，西番莲科，常绿缠绕植物叫什么？	青鳝	绿色玫瑰鹦鹉	玉蕊	阿氏鹿
2584	0	植物种类繁多，你能挑出植物名称吗？	青鱼	绿鹦鹉	红树	沼鹿
2585	0	植物种类繁多，你能挑出植物名称吗？	鲭鲨	麻雀	蓝果树	马鹿
2586	0	植物种类繁多，你能挑出植物名称吗？	鲭鱼	马呈氏吸蜜鹦鹉	八角枫	坡鹿
2587	0	叶对生，长椭圆形两面有黄褐色短柔毛；叶柄被毛，根叶果可入药。它叫什么？	雀鳝	猫头鹰	使君子	泽鹿
2588	0	植物种类繁多，你能挑出植物名称吗？	日本锯鲨	玫瑰冠锥尾鹦鹉	桃金娘	梅花鹿
2589	0	植物种类繁多，你能挑出植物名称吗？	日本鳗	美洲鸵鸟	野牡丹	宿氏鹿
2590	0	植物种类繁多，你能挑出植物名称吗？	日本须鲨	米氏吸蜜鹦鹉	菱	鬣鹿
2591	0	植物种类繁多，你能挑出植物名称吗？	绒毛鲨	米特雷锥尾鹦鹉	柳叶菜	水鹿
2592	0	植物种类繁多，你能挑出植物名称吗？	如花鱼	穆拉加鹦鹉	小二仙草	黑鹿
2593	0	多年生挺水或沉水草本？具匍匐根状茎，生于泥中，可入药。它叫什么？	三角鲂	南达锥尾鹦鹉	杉叶藻	黇鹿
2594	0	植物种类繁多，你能挑出植物名称吗？	沙丁鱼	南方锥尾鹦鹉	假繁缕	美索不达米亚鹿
2595	0	植物种类繁多，你能挑出植物名称吗？	沙拉白眼鲛	七草玫瑰鹦鹉	锁阳	麋鹿
2596	0	植物种类繁多，你能挑出植物名称吗？	沙鳅	企鹅	五加	四不像
2597	0	植物种类繁多，你能挑出植物名称吗？	鲨鱼	青绿锥尾鹦鹉	伞形	毛冠鹿
2598	0	植物种类繁多，你能挑出植物名称吗？	鳝鱼	情侣鹦鹉	山茱萸	水鼷鹿
2599	0	多生长在高海拔山地的常绿半灌木叫什么？	蛇鳗	摄政王鹦鹉	岩梅	鼷鹿
2600	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	鯵鱼	深红玫瑰鹦鹉	桤叶树	大鼷鹿
2601	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	食人鲨	深红玫瑰鹦鹉	鹿蹄草	长颈鹿
2602	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	鲥鱼	深红吸蜜鹦鹉	杜鹃花	花鹿
2603	0	有种紫金牛科植物别名：矮地茶、不出林、平地木、野枇杷叶等。它叫什么？	鼠鲨	深蓝吸蜜鹦鹉	紫金牛	加岛花鹿
2604	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	双髻鲨	深山鹦鹉	报春花	巴岛花鹿
2605	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	丝鳗	圣玛尔塔锥尾鹦鹉	白花丹	麂
2606	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	四须盘鱼	圣汤马士锥尾鹦鹉	山榄	麝
2607	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	鳎鱼	施氏吸蜜鹦鹉	柿树	玩具贵宾犬
2608	0	没有神经系统的生物是哪个？	台湾鲨	施氏吸蜜鹦鹉	山矾	美国可卡
2609	0	没有神经系统的生物是哪个？	鲐鱼	四川鹦鹉 	安息香	迷你腊肠犬
2610	0	没有神经系统的生物是哪个？	唐鱼	塔布吸蜜鹦鹉	木犀	柯利牧羊犬
2611	0	没有神经系统的生物是哪个？	条鱼	太阳锥尾鹦鹉	马钱	惠比特犬
2612	0	有一类植物如兰玉簪龙胆具有很高的观赏价值。这类植物叫什么科植物？	团头鲂鱼	桃额锥尾鹦鹉	龙胆	阿富汗猎犬
2613	0	没有神经系统的生物是哪个？	外口鮡	天鹅	夹竹桃	松狮犬
2614	0	没有神经系统的生物是哪个？	伪海鳝	秃鹫	萝藦	金毛寻回猎犬
2615	0	没有神经系统的生物是哪个？	乌鳢鱼	褪草玫瑰鹦鹉 	旋花	藏獒
2616	0	没有神经系统的生物是哪个？	乌苏里白鲑	鸵鸟	花荵	西施犬
2617	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	武昌鱼	王信天翁	田基麻	英国可卡
2618	0	可入药，别名硬紫草、大紫草、红条紫草 藐，茈草，紫丹，地血，紫草茸，鸦衔草，紫草根，山紫草，红石根的植物叫什么？	西里伯斯鳗	威氏吸蜜鹦鹉	紫草	比格猎兔犬
2619	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	细鳞鱼	乌鸦	马鞭草	爱尔兰雪达
2620	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	细尾长尾鲨	兀鹫	唇形	北京犬
2621	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	线口鳗	西部玫瑰鹦鹉	茄	威尔士柯基
2622	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	线鳗	西斯潘纽拉锥尾鹦鹉	玄参	喜乐帝犬
2623	0	茎叶可入药，治血热生风，身痒，风疹，手脚酸软麻木，咽喉肿痛。它叫什么？、	箱鱼	吸蜜鹦鹉	紫葳	萨摩耶犬
2624	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	小吻鱼	仙人掌锥尾鹦鹉	胡麻	边境牧羊犬
2625	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	新疆重唇角鱼	仙吸蜜鹦鹉	角胡麻	拳师犬
2626	0	城市日益拥挤，植物种类多样性面临挑战，请找出植物名称？	新西兰鳗	鲜红胸鹦鹉	列当	吉娃娃犬
2627	0	请您找出非动物选项？	须鲨	鸮鹦鹉	苦苣苔	德国牧羊犬
2628	0	请您找出非动物选项？	须鲨	新喀里吸蜜鹦鹉	狸藻	猎狐梗犬
2629	0	别名：小青草、六角英、赤眼老母草、麦穗癀的植物叫什么？	鳕鱼	须吸蜜鹦鹉	爵床	杜宾犬
2630	0	请您找出非动物选项？	鲟鱼	玄风鸡尾鹦鹉	苦槛蓝	巴基度犬
2631	0	请您找出非动物选项？	鸭嘴鳗	鸭	透骨草	大丹犬
2632	0	请您找出非动物选项？	胭脂鱼	牙买加锥尾鹦鹉	车前	西高地白梗犬
2633	0	请您找出非动物选项？	燕鱼	亚马逊鹦鹉	茜草	伯恩山犬
2634	0	什么植物是中药材金银花的主要品种之一？	傜山鱼	烟色吸蜜鹦鹉	忍冬	约克夏犬
2635	0	请您找出非动物选项？	鳐鱼	岩石鹦鹉	五福花	黑背犬
2636	0	请您找出非动物选项？	野鲮	燕子	败酱	狼犬
2637	0	哪个选项不是动物？	异鳗	优美鹦鹉	川续断	狼青犬
2638	0	请您找出非动物选项？	阴影绒毛鲨	鱼鹰	葫芦	吉娃娃犬
2639	0	镇咳降糖抗炎的中药材是什么？	银鲴鱼	约瑟氏吸蜜鹦鹉	桔梗	孟加拉狐
2640	0	请您找出非动物选项？	银鳗	杂色吸蜜鹦鹉	草海桐	阿富汗狐
2641	0	请您找出非动物选项？	蚓鳗	詹代亚锥尾鹦鹉	花柱草	南非狐
2642	0	有种花源于中国为多年生宿根草本植物，通过人工栽培、杂交育种和自然变异品种多达3000多种。它叫什么？	印尼鳗	折衷鹦鹉	菊	沙狐
2643	0	请您找出非动物选项？	鳙鱼	鹧鸪	澳洲坚果	藏狐
2644	0	请您找出非动物选项？	油康吉鳗	珍珠锥尾鹦鹉	芭蕉	敏狐
2645	0	请您找出非动物选项？	远海长尾鲨	啄木鸟	板栗	苍狐
2646	0	有种植物果略小於鸡蛋，果皮纤维质，内含一粒种子，南亚和东印度人们喜爱咀嚼。它叫什么？	杂色杜文鱼	啄羊鹦鹉	槟榔	吕佩尔狐
2647	0	常见食物在第几项？	哲罗鱼	花头鹦鹉	维.乌尔特氏无花果鹦鹉	菠萝
2648	0	常见食物在第几项？	真鲨	华里斯氏无花果鹦鹉	伟伯氏虹彩吸蜜鹦鹉	菠萝蜜
2649	0	常见食物在第几项？	真鲨	环南无花果鹦鹉	伟塔虹彩吸蜜鹦鹉	草莓
2650	0	黄果是最具有代表性的柑橘类果树。它又叫什么？	直口鲮	黄翅斑鹦哥	伪装情侣鹦鹉	橙
2651	0	常见食物在第几项？	中华鲅鱼	黄顶侏鹦鹉	西狄丝玛雷斯特氏无花果鹦鹉	刺梨
2652	0	常见食物在第几项？	中华锯倒刺鲃	黄喉短尾鹦鹉	西亚拉鹦哥	醋栗
2653	0	常见食物在第几项？	中华鲟	黄面鹦鹉	绣眼蓝翅鹦哥	滇杨梅
2654	0	西红柿含有丰富的胡萝卜素、维生素C和B族维生素，尤其是维生素P的含量蔬菜之冠。又称什么？	锥齿鲨	黄腿凯克鹦鹉	雅斯陀蕾伯山地无花果鹦鹉	番荔
2655	0	常见食物有哪个？	紫腹吸蜜鹦鹉	黄尾凯克鹦鹉	亚伯蒂氏橙胸无花果鹦鹉	番木瓜
2656	0	常见食物有哪个？	紫冠吸蜜鹦鹉	黄胸侏鹦鹉	亚历山大鹦鹉	风梨
2657	0	常见食物有哪个？	紫红尾锥尾鹦鹉	灰颊鹦哥	亚马逊鹦鹉	凤梨
2658	0	有种水果生津止渴，润燥，和胃，利尿，醒酒叫金实，又称什么？	紫红吸蜜鹦鹉	灰巾鹦哥	月状鹦鹉	柑
2659	0	常见食物有哪个？	紫颈吸蜜鹦鹉	灰蓝头鹦鹉	中介鹦鹉	柑桔
2660	0	常见食物有哪个？	紫项吸蜜鹦鹉	灰头情侣鹦鹉	紫红冠鹦鹉	橄揽
2661	0	常见食物有哪个？	棕榈吸蜜鹦鹉	回声鹦鹉	紫红头鹦鹉	拐枣
2662	0	红松、海松为我国重要的珍贵用材树种，又称什么？	棕胸锥尾鹦鹉	火燄金刚鹦鹉 	棕额鹦哥	果松
2663	0	常见食物有哪个？	纵纹吸蜜鹦鹉	吉温侏鹦鹉	棕脸侏鹦鹉	核桃
2664	0	常见食物有哪个？	阿鲁双眼无花果鹦鹉	贾丁氏鹦鹉	棕头鹦鹉	红毛丹
2665	0	种仁含油量高，食用或榨油，为强壮剂，治慢性气管炎、哮喘等症；木材坚实，可制枪托等。以上描述的是什么？	艾德华氏虹彩吸蜜鹦鹉	金翅斑鹦哥	草原狐	胡桃
2666	0	常见植物有哪个？	爱德华无花果鹦鹉	金丝翅鹦哥	赤狐	华山松
2667	0	金橘为盆栽观赏植物？它又称什么？	安第斯鹦哥	卡布里金刚鹦鹉 	耳廓狐 	金柑
2668	0	常见食物在第几项？	暗色鹦哥	卡克什恩无花果鹦鹉	大熊猫	桔
2669	0	常见食物在第几项？	白额鹦鹉	卡洛沙金刚鹦鹉 	马来熊	梨
2670	0	常见食物在第几项？	白腹凯克鹦鹉	卡米洛特金刚鹦鹉 	懒熊	李子
2671	0	有种春兰花外三瓣长脚圆头，半硬捧，小如意舌，质薄瓣飘，花落肩，色绿。它又称什么？	白帽鹦鹉	卡塔利那金刚鹦鹉 	眼镜熊	李梅
2672	0	常见食物在第几项？	拜氏鹦鹉	莱呈瑙氏橙胸无花果鹦鹉	熊齿兽	荔枝
2673	0	常见食物在第几项？	斑点金刚鹦鹉 	蓝冠短尾鹦鹉	猫熊	龙眼
2674	0	檬果、漭果、闷果、蜜望、望果、庵波罗果含有糖、蛋白质、粗纤维、矿物质、脂肪等。它还叫什么？	斑色金刚鹦鹉 	蓝脸虹彩吸蜜鹦鹉	大猫熊	芒果
2675	0	常见食物在第几项？	波芬文恩金刚鹦鹉 	蓝头鹦哥	棕熊	梅
2676	0	有种水果一颗能提供一个人一日维生素C需求量的两倍多，被誉为“维C之王”。它又称什么？	布鲁芬氏金刚鹦鹉 	鳞头鹦哥	美洲黑熊	猕猴桃
2677	0	常见食物在第几项？	布鲁克氏虹彩吸蜜鹦鹉	鲁佩氏鹦鹉	北极熊	木瓜
2678	0	常见食物在第几项？	长尾鹦鹉	绿短尾鹦鹉	亚洲黑熊	柠檬
2679	0	常见食物在第几项？	橙额短尾鹦鹉	绿额短尾鹦鹉	阿特拉斯棕熊	牛心果
2680	0	下列哪个选项属于植物类？	橙颏鹦哥	绿领鹦鹉	北非棕熊	枇杷
2681	0	下列哪个选项属于植物类？	橙胸无花果鹦鹉	绿侏鹦鹉	懒熊	苹果
2682	0	下列哪个选项属于植物类？	纯色鹦哥	罗森柏格氏虹彩吸蜜鹦鹉	马来熊	葡萄
2683	0	山梨、花盖梨花白如雪，是一种观赏植物，又称什么？	酢浆草金刚鹦鹉 	马岛鹦鹉	马来貘	秋子梨
2684	0	下列哪个选项属于植物类？	达扎丕虹彩吸蜜鹦鹉	马拉巴鹦鹉	三趾树懒	人心果
2685	0	红果、棠棣、绿梨、北山楂有很高的营养价值和药用价值。它又叫什么？	大绯胸鹦鹉	马仙纳氏虹彩吸蜜鹦鹉	二趾树懒	山碴
2686	0	下列哪个选项属于植物类？	德拜鹦鹉	马歇尔氏双眼无花果鹦鹉	蜜蜂	山定子
2687	0	下列哪个选项属于植物类？	德氏无花果鹦鹉	麦耶氏鹦鹉	马蜂	山核桃
2688	0	有一类约10种高大的落叶观赏植物和材用树它们统称什么？	底波兰奇氏虹彩吸蜜鹦鹉	米利戈德金刚鹦鹉 	蜻蜓	山毛榉
2689	0	下列哪个选项属于植物类？	短尾鹦鹉	米契尔氏虹彩吸蜜鹦鹉	苍蝇	山葡萄
2690	0	下列哪个选项属于植物类？	非洲黑鹦鹉	面罩情侣鹦鹉	蚊子	山查
2691	0	下列哪个选项属于植物类？	非洲灰鹦鹉	摩鹿加短尾鹦鹉	牛虻	柿子
2692	0	水果覆盆子又称什么？	菲律宾短尾鹦鹉	南方绿颈吸蜜鹦鹉	蝴蝶	树莓
2693	0	下列哪个选项属于植物类？	费氏情侣鹦鹉	尼安鹦鹉	步行虫	桃
2694	0	下列哪个选项属于植物类？	佛斯坦氏虹彩吸蜜鹦鹉	尼尼勾虹彩吸蜜鹦鹉	放屁虫	无花果
2695	0	下列哪个选项属于植物类？	噶德玫氏无花果鹦鹉	尼亚情侣鹦鹉	蟑螂	香榧
2696	0	甘蕉、芎蕉芭蕉属(Musa)植物，又指其果实，是重要的粮食作物之一。它还叫什么？	橄榄绿虹彩吸蜜鹦鹉	纽玛氏橙胸无花果鹦鹉	蝼蛄	香蕉
2697	0	下列哪个选项属于植物类？	高山鹦哥	浅蓝头虹彩吸蜜鹦鹉	地老虎	杏
2698	0	下列哪个选项属于植物类？	哈特氏双眼无花果鹦鹉	青铜翅鹦鹉	夜蛾幼虫	杨梅
2699	0	哪个选项不属于动物？	海角鹦鹉	瑞氏灰头鹦鹉	蝉的幼虫	腰果
2700	0	胥余、越王头、椰瓢也叫什么？	黑翅情侣鹦鹉	萨尔瓦多橙胸无花果鹦鹉	负子蝽	椰子
2701	0	哪个选项不属于动物？	黑喉虹彩吸蜜鹦鹉	萨尔瓦多无花果鹦鹉	田鳖	银杏
