INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
index	name	scriptid（填了脚本号后边ruler最好不要填2）	opt_type（为1的时候time_type也为1，表示每天都触发；为0的时候，time_type为2，表示限定某一天触发）	time_type	Report_start	Report_over	time_start	time_over	reserve1是否随机	reserve1	reserve2	reserve3	reserve4	reserve5	广播类型	慢报间隔	慢报内容	慢报结束时间点	快报间隔	快报内容	快报结束时间点	刚开报间隔	刚开报内容	刚开报结束时间点	进行中报间隔	进行中报内容	进行中报结束时间点	快结束报间隔	快结束报内容	快结束报结束时间点	ruler（0表示读取后边Map0——Map9列和广播的场景列表列，可多场景响应；-1表示只读取SceneId列，只一个场景响应；-2表示所有场景都响应，一般用于纯广播，和脚本无关时使用）	SceneId	Map_0	Map_1	Map_2	Map_3	Map_4	Map_5	Map_6	Map_7	Map_8	Map_9	ModuleToggle	播放类型 (0:普通场景 1：战场 2:普通场景和战场)	广播的场景列表，支持解析|，最大支持36个场景，默认为空
224	游乐场-暴龙结束	-1	0	2	1810	1811	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	1811	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
225	游乐场-暴龙开始	-1	0	2	1850	1851	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1851	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
226	游乐场-暴龙大作战	310320	0	2	1900	1901	1900	1901	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	1901	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
227	游乐场-暴龙结束	-1	0	2	1910	1911	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	1911	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
228	游乐场-暴龙开始	-1	0	2	1950	1951	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	1951	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
229	游乐场-暴龙大作战	310320	0	2	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	2001	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
230	游乐场-暴龙结束	-1	0	2	2010	2011	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	2011	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
231	游乐场-暴龙开始	-1	0	2	2050	2051	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	2051	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
232	游乐场-暴龙大作战	310320	0	2	2100	2101	2100	2101	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	2101	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
233	游乐场-暴龙结束	-1	0	2	2110	2111	-1	-1	0	0	-1	-1	-1	-1	4|1	61	此轮暴龙大作战已经结束！	2111	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
234	游乐场-暴龙开始	-1	0	2	2150	2151	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	2151	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
235	游乐场-暴龙大作战	310320	0	2	2200	2201	2200	2201	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	2201	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
236	游乐场-暴龙结束	-1	0	2	2210	2211	-1	-1	0	0	-1	-1	-1	-1	4|1	61	本周的暴龙大作战全部结束了，欢迎下次再来！	2211	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
237	游乐场-疯狂的箱子	-1	0	2	1225	1226	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	1226	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
238	游乐场-疯狂的箱子	310324	0	2	1235	1236	1235	1236	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	1236	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
239	游乐场-疯狂的箱子	310325	0	2	1250	1251	1250	1251	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	1251	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
240	游乐场-疯狂的箱子	-1	0	2	1325	1326	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	1326	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
241	游乐场-疯狂的箱子	310324	0	2	1335	1336	1335	1336	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	1336	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
242	游乐场-疯狂的箱子	310325	0	2	1350	1351	1350	1351	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	1351	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
243	游乐场-疯狂的箱子	-1	0	2	1425	1426	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	1426	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
244	游乐场-疯狂的箱子	310324	0	2	1435	1436	1435	1436	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	1436	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
245	游乐场-疯狂的箱子	310325	0	2	1450	1451	1450	1451	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	1451	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
246	游乐场-疯狂的箱子	-1	0	2	1525	1526	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	1526	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
247	游乐场-疯狂的箱子	310324	0	2	1535	1536	1535	1536	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	1536	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
248	游乐场-疯狂的箱子	310325	0	2	1550	1551	1550	1551	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	1551	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
249	游乐场-疯狂的箱子	-1	0	2	1625	1626	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	1626	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
250	游乐场-疯狂的箱子	310324	0	2	1635	1636	1635	1636	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	1636	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
251	游乐场-疯狂的箱子	310325	0	2	1650	1651	1650	1651	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	1651	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
252	游乐场-疯狂的箱子	-1	0	2	1725	1726	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	1726	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
253	游乐场-疯狂的箱子	310324	0	2	1735	1736	1735	1736	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	1736	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
254	游乐场-疯狂的箱子	310325	0	2	1750	1751	1750	1751	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	1751	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
255	游乐场-疯狂的箱子	-1	0	2	1825	1826	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	1826	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
256	游乐场-疯狂的箱子	310324	0	2	1835	1836	1835	1836	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	1836	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
257	游乐场-疯狂的箱子	310325	0	2	1850	1851	1850	1851	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	1851	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
258	游乐场-疯狂的箱子	-1	0	2	1925	1926	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	1926	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
259	游乐场-疯狂的箱子	310324	0	2	1935	1936	1935	1936	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	1936	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
260	游乐场-疯狂的箱子	310325	0	2	1950	1951	1950	1951	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	1951	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
261	游乐场-疯狂的箱子	-1	0	2	2025	2026	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	2026	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
262	游乐场-疯狂的箱子	310324	0	2	2035	2036	2035	2036	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	2036	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
263	游乐场-疯狂的箱子	310325	0	2	2050	2051	2050	2051	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	2051	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
264	游乐场-疯狂的箱子	-1	0	2	2125	2126	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	2126	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
265	游乐场-疯狂的箱子	310324	0	2	2135	2136	2135	2136	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	2136	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
266	游乐场-疯狂的箱子	310325	0	2	2150	2151	2150	2151	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	2151	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
267	游乐场-疯狂的箱子	-1	0	2	2225	2226	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	2226	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
268	游乐场-疯狂的箱子	310324	0	2	2235	2236	2235	2236	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间·麒麟中的摩天轮区、旋转木马区、暴龙区和梦幻城堡区！	2236	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
269	游乐场-疯狂的箱子	310325	0	2	2250	2251	2250	2251	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	2251	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
270	游乐场-彩票	310338	0	2	62359	0	62359	0	0	0	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
271	游乐场-彩票	310338	0	2	1030	1031	1030	1031	0	1	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
272	游乐场-彩票	310338	0	2	1230	1231	1230	1231	0	2	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
273	游乐场-彩票	310338	0	2	1430	1431	1430	1431	0	3	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
274	游乐场-彩票	310338	0	2	1630	1631	1630	1631	0	4	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
275	游乐场-彩票	310338	0	2	1830	1831	1830	1831	0	5	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
276	游乐场-彩票	310338	0	2	2030	2031	2030	2031	0	6	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
277	游乐场-彩票	310338	0	2	2230	2231	2230	2231	0	7	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
278	游乐场关闭	310342	0	2	2250	2251	2300	2301	0	0	-1	-1	-1	-1	4|1	61	天上人间·麒麟即将关闭，欢迎您下次再来。	2251	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
279	游乐场全民狂欢	310341	0	2	900	901	900	901	0	0	-1	-1	-1	-1	4|1	61	魔女艾丽西丝的水晶球又丢失了，请各位游客帮忙找寻回来。	901	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
280	游乐场全民狂欢	310341	0	2	2250	2251	2250	2251	0	1	-1	-1	-1	-1	4|1	61	魔女艾丽西丝的水晶球都被找回了，谢谢大家的努力。	2251	-1		-1	-1		-1	-1		-1	-1		-1	0	99	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
281	大观园全民狂欢	310363	0	2	60900	60901	60900	62250	0	0	-1	-1	-1	-1	4|1	61	福神出现在天上人间·梦聊，等待有缘人	6901	-1		-1	-1		-1	-1		-1	-1		-1	0	99	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
282	大观园全民狂欢	310363	0	2	62250	62251	62250	62251	0	0	-1	-1	-1	-1	4|1	61	福神出已经离开天上人间·梦聊	62251	-1		-1	-1		-1	-1		-1	-1		-1	0	99	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
283	大观园全民狂欢	310363	0	2	900	901	900	2250	0	0	-1	-1	-1	-1	4|1	61	福神出现在天上人间·梦聊，等待有缘人	901	-1		-1	-1		-1	-1		-1	-1		-1	0	99	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
284	大观园全民狂欢	310363	0	2	2250	2251	2250	2251	0	0	-1	-1	-1	-1	4|1	61	福神出已经离开天上人间·梦聊	2251	-1		-1	-1		-1	-1		-1	-1		-1	0	99	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
285	大观园彩票	310362	1	1	1030	1031	1030	1031	1	0	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	40
286	大观园挖宝排名	-1	0	2	1730	1731	-1	-1	0	0	-1	-1	-1	-1	4|1	61	挖宝大作战今日排名已出，各位玩家可以到天上人间·梦聊挖宝大作战发布人（129，69）查询名次领取对应奖励！	1731	-1		-1	-1		-1	-1		-1	-1		-1	0	40	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	40
287	大观园挖宝排名	-1	0	2	61730	61731	-1	-1	0	0	-1	-1	-1	-1	4|1	61	挖宝大作战今日排名已出，各位玩家可以到天上人间·梦聊挖宝大作战发布人（129，69）查询名次领取对应奖励！	61731	-1		-1	-1		-1	-1		-1	-1		-1	0	40	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	40
288	大观园关闭	310372	0	2	2250	2251	2300	2301	0	0	-1	-1	-1	-1	4|1	61	天上人间·梦聊即将关闭，欢迎您下次再来。	2251	-1		-1	-1		-1	-1		-1	-1		-1	0	40	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	40
289	大观园关闭	310372	0	2	62250	62251	62300	62301	0	0	-1	-1	-1	-1	4|1	61	天上人间·梦聊即将关闭，欢迎您下次再来。	62251	-1		-1	-1		-1	-1		-1	-1		-1	0	40	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	40
290	大观园天降魔君	310365	1	1	0	1	0	1	0	0	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	40	40|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	40
291	国王争夺战	300970	1	1	1000	1001	1000	1001	0	0	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
292	国王争夺战	300970	1	1	1100	1101	1100	1101	0	1	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
293	国王争夺战	300970	1	1	1200	1201	1200	1201	0	2	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
294	国王争夺战	300970	1	1	1300	1301	1300	1301	0	3	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
295	国王争夺战	300970	1	1	1400	1401	1400	1401	0	4	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
296	国王争夺战	300970	1	1	1500	1501	1500	1501	0	5	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
297	国王争夺战	300970	1	1	1600	1601	1600	1601	0	6	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
298	国王争夺战	300970	1	1	1700	1701	1700	1701	0	7	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
299	国王争夺战	300970	1	1	1900	1901	1900	1901	0	8	-1	-1	-1	-1	4|1	-1	-1	-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
